lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <otherFunctions>    , isLeafNode: no  , NodeSymbol: <otherFunctions>
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <program>           , isLeafNode: no  , NodeSymbol: <otherFunctions>
lexemeCurrentNode: _main               , lineno: 20, token: TK_MAIN             ,valueIfNumber:      , parentNodeSymbol: <mainFunction>      , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: _main               , lineno: 20, token: TK_MAIN             ,valueIfNumber:      , parentNodeSymbol: <mainFunction>      , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: record              , lineno: 21, token: TK_RECORD           ,valueIfNumber:      , parentNodeSymbol: <typeDefinition>    , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: record              , lineno: 21, token: TK_RECORD           ,valueIfNumber:      , parentNodeSymbol: <typeDefinition>    , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: #marks              , lineno: 21, token: TK_RECORDID         ,valueIfNumber:      , parentNodeSymbol: <typeDefinition>    , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: #marks              , lineno: 21, token: TK_RECORDID         ,valueIfNumber:      , parentNodeSymbol: <typeDefinition>    , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: type                , lineno: 22, token: TK_TYPE             ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: type                , lineno: 22, token: TK_TYPE             ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: real                , lineno: 22, token: TK_REAL             ,valueIfNumber:      , parentNodeSymbol: <primitiveDatatype> , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: real                , lineno: 22, token: TK_REAL             ,valueIfNumber:      , parentNodeSymbol: <primitiveDatatype> , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: no  , NodeSymbol: <primitiveDatatype>
lexemeCurrentNode: :                   , lineno: 22, token: TK_COLON            ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: :                   , lineno: 22, token: TK_COLON            ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: maths               , lineno: 22, token: TK_FIELDID          ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: maths               , lineno: 22, token: TK_FIELDID          ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ;                   , lineno: 22, token: TK_SEM              ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ;                   , lineno: 22, token: TK_SEM              ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <fieldDefinitions>  , isLeafNode: no  , NodeSymbol: <fieldDefinition>
lexemeCurrentNode: type                , lineno: 23, token: TK_TYPE             ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: type                , lineno: 23, token: TK_TYPE             ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: real                , lineno: 23, token: TK_REAL             ,valueIfNumber:      , parentNodeSymbol: <primitiveDatatype> , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: real                , lineno: 23, token: TK_REAL             ,valueIfNumber:      , parentNodeSymbol: <primitiveDatatype> , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: no  , NodeSymbol: <primitiveDatatype>
lexemeCurrentNode: :                   , lineno: 23, token: TK_COLON            ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: :                   , lineno: 23, token: TK_COLON            ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: physics             , lineno: 23, token: TK_FIELDID          ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: physics             , lineno: 23, token: TK_FIELDID          ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ;                   , lineno: 23, token: TK_SEM              ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ;                   , lineno: 23, token: TK_SEM              ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: ----                , lineno:   , token:                     ,valueIfNumber:      , parentNodeSymbol: <fieldDefinitions>  , isLeafNode: no  , NodeSymbol: <fieldDefinition>
lexemeCurrentNode: type                , lineno: 24, token: TK_TYPE             ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: type                , lineno: 24, token: TK_TYPE             ,valueIfNumber:      , parentNodeSymbol: <fieldDefinition>   , isLeafNode: yes , NodeSymbol: 
lexemeCurrentNode: real                , lineno: 24, token: TK_REAL             ,valueIfNumber:      , parentNodeSymbol: <primitiveDatatype> , isLeafNode: yes , NodeSymbol: 
